epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,146.725,1.59692,1.18362,1.07772,0.37459,0.42466,0.29214,0.13338,1.75084,2.62701,1.10035,0.00812468,0.00812468,0.00812468
45,150.033,1.61088,1.21255,1.05336,0.37863,0.53421,0.40067,0.2117,1.75302,1.72849,1.10117,0.00804277,0.00804277,0.00804277
46,153.394,1.6791,1.22947,1.10698,0.52246,0.58904,0.58039,0.29648,1.92911,1.41355,1.17486,0.00795954,0.00795954,0.00795954
47,156.669,1.58288,1.1021,1.05684,0.46512,0.54795,0.5074,0.28758,1.82996,1.43281,1.15472,0.00787503,0.00787503,0.00787503
48,159.868,1.57507,1.09212,1.04727,0.49219,0.54441,0.48385,0.28008,1.69818,1.43244,1.08816,0.00778929,0.00778929,0.00778929
49,163.063,1.60621,1.1154,1.04915,0.48858,0.60274,0.5474,0.29378,1.81257,1.41385,1.1364,0.00770234,0.00770234,0.00770234
50,166.189,1.67348,1.19541,1.08411,0.47253,0.58904,0.5399,0.28388,1.87327,1.39215,1.17704,0.00761423,0.00761423,0.00761423
51,169.399,1.66415,1.11934,1.06307,0.59091,0.53425,0.54446,0.28182,1.9303,1.41466,1.21483,0.007525,0.007525,0.007525
52,172.627,1.66217,1.13485,1.08218,0.52518,0.50685,0.50534,0.26587,1.9023,1.43775,1.17265,0.00743468,0.00743468,0.00743468
53,175.602,1.64212,1.07711,1.08677,0.55968,0.53982,0.53358,0.25219,1.94604,1.42606,1.19942,0.00734332,0.00734332,0.00734332
54,178.729,1.56982,1.07331,1.05228,0.59322,0.47945,0.53635,0.2664,1.9455,1.42975,1.18509,0.00725094,0.00725094,0.00725094
55,181.917,1.64065,1.13322,1.07412,0.55088,0.53425,0.52517,0.25766,1.84392,1.47616,1.13244,0.00715761,0.00715761,0.00715761
56,185.95,1.51894,1.09475,1.05497,0.56734,0.52092,0.53781,0.24272,1.84538,1.50705,1.13947,0.00706335,0.00706335,0.00706335
57,189.372,1.56543,1.01721,1.04455,0.54667,0.56164,0.54366,0.25621,1.89458,1.45083,1.15757,0.0069682,0.0069682,0.0069682
58,192.828,1.56496,1.06748,1.07008,0.54054,0.54795,0.53509,0.28888,1.81753,1.40264,1.14568,0.00687222,0.00687222,0.00687222
59,196.245,1.52607,0.99875,1.03295,0.58817,0.52055,0.5726,0.31967,1.83583,1.31248,1.13862,0.00677543,0.00677543,0.00677543
60,199.93,1.55159,1.0188,1.06664,0.44828,0.53425,0.4983,0.22615,2.12338,1.4474,1.23792,0.00667789,0.00667789,0.00667789
61,203.427,1.57315,1.00682,1.0357,0.48901,0.52055,0.52282,0.24468,1.98785,1.38225,1.17312,0.00657963,0.00657963,0.00657963
62,206.991,1.65156,1.11855,1.08283,0.54086,0.61323,0.55959,0.27388,1.81982,1.36448,1.10013,0.00648071,0.00648071,0.00648071
63,210.382,1.60999,1.11336,1.06395,0.52273,0.63014,0.53925,0.27234,1.84433,1.428,1.13082,0.00638115,0.00638115,0.00638115
64,213.937,1.5909,1.06063,1.0561,0.53409,0.64384,0.56679,0.2658,1.87912,1.42676,1.13793,0.00628101,0.00628101,0.00628101
65,217.47,1.53378,1.01322,1.05111,0.49254,0.45205,0.46899,0.22676,1.93559,1.46662,1.14475,0.00618034,0.00618034,0.00618034
66,220.97,1.62865,1.03949,1.06356,0.46067,0.56164,0.50413,0.24871,1.90536,1.42517,1.14706,0.00607916,0.00607916,0.00607916
67,224.444,1.57321,1.03772,1.03634,0.4841,0.57534,0.55464,0.29318,1.8347,1.42184,1.14539,0.00597754,0.00597754,0.00597754
68,227.866,1.58295,1.03116,1.04766,0.58423,0.54795,0.58664,0.2827,1.90329,1.3643,1.13933,0.00587551,0.00587551,0.00587551
69,231.288,1.52388,0.98375,1.00756,0.57934,0.60274,0.56558,0.27411,1.97644,1.3503,1.15009,0.00577311,0.00577311,0.00577311
70,234.694,1.576,1.04666,1.04435,0.67157,0.58825,0.61262,0.30103,1.86625,1.33223,1.1304,0.0056704,0.0056704,0.0056704
71,238.032,1.50742,0.97027,1.04426,0.60683,0.49315,0.5321,0.26835,2.06968,1.49278,1.19819,0.00556742,0.00556742,0.00556742
72,241.854,1.64637,1.11028,1.05279,0.52516,0.43836,0.50333,0.24559,2.12203,1.54027,1.21681,0.00546421,0.00546421,0.00546421
73,245.337,1.55417,0.98729,1.04142,0.56139,0.42466,0.49723,0.25468,1.88227,1.4339,1.1552,0.00536081,0.00536081,0.00536081
74,248.761,1.55806,1.04681,1.05501,0.44048,0.50685,0.49319,0.2524,1.86163,1.44109,1.13134,0.00525728,0.00525728,0.00525728
75,252.035,1.52773,0.98234,1.03619,0.50634,0.49315,0.50716,0.26715,1.83594,1.45136,1.12145,0.00515366,0.00515366,0.00515366
76,255.531,1.53388,1.05435,1.03974,0.57282,0.46575,0.51075,0.28412,1.93763,1.48534,1.17224,0.00505,0.00505,0.00505
77,258.857,1.59661,1.01885,1.06532,0.58277,0.49752,0.54895,0.29242,1.95305,1.4552,1.18481,0.00494634,0.00494634,0.00494634
78,262.604,1.53743,1.037,1.03141,0.66176,0.61644,0.64702,0.36596,1.76657,1.39785,1.11549,0.00484272,0.00484272,0.00484272
79,266.091,1.46664,0.96309,1.02428,0.74419,0.43836,0.59189,0.33608,1.81292,1.53267,1.11146,0.00473919,0.00473919,0.00473919
80,269.436,1.51142,1.0028,1.02312,0.71795,0.38356,0.55011,0.30093,1.91668,1.58791,1.15103,0.00463579,0.00463579,0.00463579
81,272.548,1.46646,0.97371,1.01378,0.62712,0.50685,0.5587,0.30264,1.86531,1.54661,1.14467,0.00453258,0.00453258,0.00453258
82,275.922,1.49318,0.98734,0.99344,0.56944,0.56164,0.5604,0.31826,1.79354,1.49009,1.11672,0.0044296,0.0044296,0.0044296
83,279.279,1.56121,0.95877,1.01988,0.50515,0.67123,0.5934,0.31166,1.73543,1.36862,1.09808,0.00432689,0.00432689,0.00432689
84,282.885,1.44057,0.93706,1.00561,0.64293,0.54795,0.60103,0.29668,1.84882,1.3798,1.1376,0.00422449,0.00422449,0.00422449
85,286.414,1.53467,0.98791,1.03846,0.58282,0.57414,0.58902,0.27572,2.01959,1.43864,1.19739,0.00412246,0.00412246,0.00412246
86,290.136,1.41986,0.90965,0.9983,0.59722,0.47945,0.56102,0.3036,1.81534,1.3834,1.10217,0.00402084,0.00402084,0.00402084
87,293.686,1.43946,0.90542,0.98546,0.46555,0.65753,0.56891,0.33692,1.65192,1.30164,1.06713,0.00391966,0.00391966,0.00391966
88,297.231,1.47772,0.91976,1.01396,0.46968,0.58904,0.54932,0.31324,1.67957,1.34246,1.07982,0.00381899,0.00381899,0.00381899
89,300.706,1.50003,0.94154,0.9996,0.56268,0.58904,0.55358,0.29287,1.80565,1.46501,1.11348,0.00371885,0.00371885,0.00371885
90,303.993,1.42965,0.89589,1.02015,0.51852,0.57534,0.55189,0.27181,1.88778,1.50188,1.13055,0.00361929,0.00361929,0.00361929
91,307.31,1.45464,0.92416,0.99826,0.61111,0.45205,0.54618,0.29437,1.85306,1.48907,1.10853,0.00352037,0.00352037,0.00352037
92,310.668,1.39096,0.90794,0.98178,0.70732,0.39726,0.56132,0.3087,1.86089,1.46869,1.12859,0.00342211,0.00342211,0.00342211
93,313.897,1.41659,0.88967,0.98043,0.70455,0.42466,0.57073,0.31158,1.86419,1.43089,1.14801,0.00332457,0.00332457,0.00332457
94,317.43,1.49399,0.93002,0.99684,0.56511,0.45205,0.52955,0.29624,1.81733,1.45647,1.13537,0.00322778,0.00322778,0.00322778
95,320.748,1.36501,0.83423,0.97482,0.55556,0.47945,0.53107,0.27418,1.88626,1.53093,1.15491,0.0031318,0.0031318,0.0031318
96,323.997,1.38461,0.83677,0.98313,0.59259,0.43836,0.53181,0.24543,1.96335,1.55396,1.17326,0.00303665,0.00303665,0.00303665
97,327.231,1.45668,0.94374,1.02435,0.63636,0.47945,0.56483,0.26882,1.99697,1.44706,1.1764,0.00294239,0.00294239,0.00294239
98,330.46,1.35792,0.81228,0.98165,0.6,0.53425,0.57212,0.29343,1.95262,1.39484,1.15594,0.00284906,0.00284906,0.00284906
99,333.749,1.40622,0.88582,0.99288,0.56338,0.54795,0.57679,0.32724,1.81621,1.33235,1.10545,0.00275668,0.00275668,0.00275668
100,337.029,1.36201,0.84003,0.955,0.59146,0.49583,0.55584,0.30079,1.81072,1.39081,1.102,0.00266532,0.00266532,0.00266532
101,340.354,1.39075,0.84096,0.98095,0.57045,0.47945,0.53965,0.28074,1.82601,1.42764,1.10946,0.002575,0.002575,0.002575
102,343.623,1.47997,0.93295,1.00188,0.49972,0.57534,0.53993,0.26152,1.87147,1.42539,1.13084,0.00248577,0.00248577,0.00248577
103,346.91,1.43766,0.89054,0.9945,0.53704,0.60274,0.57492,0.27105,1.90418,1.3972,1.14924,0.00239766,0.00239766,0.00239766
104,350.151,1.42019,0.92389,0.98308,0.52128,0.67123,0.5991,0.27211,1.93916,1.38343,1.15805,0.00231071,0.00231071,0.00231071
105,353.424,1.3626,0.83519,0.96615,0.63978,0.57534,0.62115,0.2917,1.95997,1.3744,1.16634,0.00222497,0.00222497,0.00222497
106,356.659,1.3647,0.79803,0.97481,0.59438,0.60274,0.62588,0.28912,1.97884,1.42419,1.17875,0.00214046,0.00214046,0.00214046
107,359.98,1.37367,0.83009,0.96382,0.51429,0.49315,0.53795,0.28025,1.94239,1.55663,1.16441,0.00205723,0.00205723,0.00205723
108,363.239,1.41517,0.85926,0.98458,0.5,0.46575,0.51159,0.27423,1.87727,1.60365,1.13639,0.00197532,0.00197532,0.00197532
