epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0623,1.37212,3.21963,1.4316,0.00195,1,0.19798,0.13069,1.2169,4.27228,1.33231,0.000651515,0.000651515,0.000651515
2,20.707,1.39243,2.77539,1.42981,0.71377,0.75736,0.79227,0.50844,1.20785,2.87154,1.57224,0.00105718,0.00105718,0.00105718
3,30.1669,1.40983,2.19649,1.48469,0.71798,0.66006,0.79711,0.4708,1.4253,2.32783,1.66994,0.00119885,0.00119885,0.00119885
4,39.3507,1.30269,1.94538,1.35253,0.7716,0.75075,0.84605,0.54234,1.22025,1.52802,1.55604,0.000812,0.000812,0.000812
5,48.5817,1.30054,1.78847,1.3766,0.80355,0.81809,0.88954,0.59349,1.11448,1.33458,1.43552,0.000416,0.000416,0.000416
