epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4938,1.6964,2.87025,1.12184,0.01063,0.94408,0.01928,0.00917,1.48737,3.35284,1.02426,0.00036,0.00036,0.00036
2,23.0692,1.49622,1.34252,1.06818,0.01022,0.90789,0.02209,0.01225,1.48874,3.33042,1.03769,0.00059348,0.00059348,0.00059348
3,30.2307,1.52218,1.18169,1.05501,0.01089,0.96711,0.11546,0.05755,1.48764,2.92008,1.04934,0.00067648,0.00067648,0.00067648
4,37.1665,1.40649,1.08285,1.02482,0.02253,0.90789,0.70432,0.35207,1.46691,2.63473,1.06748,0.000609,0.000609,0.000609
5,44.3743,1.417,1.05829,1.02619,0.96215,0.33451,0.85597,0.47393,1.41643,2.26782,1.05426,0.00039104,0.00039104,0.00039104
