epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.272,1.83676,2.56472,1.88643,0.19277,0.82222,0.21527,0.09099,1.66062,17.1123,1.88313,0.000651515,0.000651515,0.000651515
2,836.529,1.75869,1.86498,1.74819,1e-05,0.00741,1e-05,0,4.89852,inf,97.0976,0.00130513,0.00130513,0.00130513
3,1224.76,1.87161,1.79745,1.84136,0.27304,0.02963,0.02222,0.00864,4.41774,5.26394,5.86679,0.00194555,0.00194555,0.00194555
