epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,198.162,1.01546,0.56548,1.12254,0.95495,0.95484,0.97365,0.63326,1.25925,0.55355,1.42788,0.0005941,0.0005941,0.0005941
43,202.992,0.95771,0.53297,1.10286,0.93738,0.9441,0.97125,0.63527,1.16632,0.52173,1.40932,0.0005842,0.0005842,0.0005842
44,207.677,0.99144,0.53225,1.14437,0.92276,0.9686,0.98371,0.67841,1.13164,0.51687,1.35246,0.0005743,0.0005743,0.0005743
45,212.309,0.99362,0.54672,1.13228,0.95644,0.94595,0.98581,0.67343,1.13565,0.51615,1.40096,0.0005644,0.0005644,0.0005644
46,216.978,0.95285,0.52071,1.09715,0.9073,0.96991,0.9817,0.68392,1.11796,0.52967,1.33344,0.0005545,0.0005545,0.0005545
47,221.599,0.89618,0.50396,1.05736,0.90852,0.97297,0.98427,0.65992,1.12501,0.5045,1.3632,0.0005446,0.0005446,0.0005446
48,226.048,0.99161,0.51464,1.13258,0.95311,0.91553,0.98223,0.65675,1.1668,0.51939,1.35929,0.0005347,0.0005347,0.0005347
49,230.512,0.96695,0.54272,1.10103,0.90029,0.97612,0.98283,0.6709,1.10742,0.519,1.35997,0.0005248,0.0005248,0.0005248
50,235.02,0.96414,0.52486,1.1075,0.95252,0.90361,0.98149,0.67212,1.14916,0.54342,1.38552,0.0005149,0.0005149,0.0005149
51,239.536,0.95963,0.52544,1.1182,0.93815,0.95659,0.98367,0.66807,1.1696,0.52116,1.37309,0.000505,0.000505,0.000505
52,244.094,0.88123,0.4956,1.08294,0.96742,0.94595,0.98673,0.65776,1.17683,0.519,1.44298,0.0004951,0.0004951,0.0004951
53,248.812,0.92958,0.5052,1.08961,0.93695,0.97297,0.98658,0.66242,1.19059,0.50564,1.46633,0.0004852,0.0004852,0.0004852
54,253.362,0.84473,0.47527,1.04453,0.95519,0.96396,0.98433,0.6586,1.17101,0.5213,1.43379,0.0004753,0.0004753,0.0004753
55,257.645,0.89092,0.51123,1.05591,0.94362,0.95495,0.98354,0.67357,1.16488,0.52701,1.43656,0.0004654,0.0004654,0.0004654
56,262.295,0.91726,0.49057,1.08371,0.93475,0.98198,0.98582,0.68139,1.19385,0.49976,1.4352,0.0004555,0.0004555,0.0004555
57,266.66,0.86509,0.48216,1.07391,0.95615,0.94595,0.98749,0.67788,1.14671,0.49918,1.39254,0.0004456,0.0004456,0.0004456
58,271.14,0.87571,0.47035,1.04897,0.92895,0.98198,0.98567,0.67469,1.16046,0.50431,1.38221,0.0004357,0.0004357,0.0004357
59,275.615,0.88999,0.4965,1.09252,0.92174,0.95494,0.98217,0.66608,1.20305,0.52974,1.40108,0.0004258,0.0004258,0.0004258
60,280.103,0.88362,0.48441,1.08393,0.97299,0.94595,0.9866,0.68204,1.12886,0.4802,1.37066,0.0004159,0.0004159,0.0004159
61,284.586,0.86128,0.47543,1.06174,0.97172,0.93694,0.98549,0.68125,1.12568,0.48034,1.36802,0.000406,0.000406,0.000406
62,288.87,0.8539,0.46106,1.0615,0.95959,0.91892,0.98372,0.65708,1.16582,0.49491,1.42437,0.0003961,0.0003961,0.0003961
